iter	Passed	Remaining
0	3	693
1	6	630
2	8	582
3	11	558
4	16	630
5	19	627
6	23	634
7	25	616
8	28	600
9	31	590
10	33	581
11	36	572
12	40	575
13	43	573
14	46	572
15	49	565
16	51	557
17	54	550
18	57	545
19	60	541
20	62	536
21	65	530
22	68	525
23	70	519
24	73	514
25	76	510
26	78	506
27	81	501
28	84	496
29	86	491
30	89	487
31	91	482
32	94	478
33	97	473
34	99	470
35	102	466
36	104	462
37	107	458
38	109	453
39	112	449
40	114	445
41	117	441
42	119	437
43	122	433
44	125	430
45	127	427
46	130	424
47	132	420
48	135	417
49	137	412
50	140	409
51	142	405
52	144	401
53	147	398
54	150	395
55	152	393
56	155	389
57	157	385
58	160	382
59	162	378
60	164	375
61	167	372
62	169	369
63	172	365
64	174	363
65	178	361
66	180	359
67	183	356
68	186	354
69	189	351
70	192	349
71	194	346
72	197	343
73	200	340
74	203	338
75	205	335
76	208	333
77	211	330
78	213	327
79	216	325
80	219	323
81	222	320
82	225	317
83	228	315
84	231	312
85	234	310
86	236	307
87	239	304
88	242	301
89	244	299
90	247	296
91	250	293
92	252	290
93	255	288
94	258	285
95	260	282
96	263	279
97	265	276
98	268	274
99	271	271
100	274	268
101	276	265
102	279	263
103	281	260
104	284	257
105	287	254
106	290	252
107	293	249
108	295	246
109	298	244
110	300	241
111	303	238
112	306	236
113	309	233
114	312	230
115	314	228
116	317	225
117	320	222
118	322	219
119	325	216
120	328	214
121	330	211
122	333	208
123	336	206
124	339	203
125	343	201
126	346	199
127	350	196
128	353	194
129	357	192
130	360	189
131	363	187
132	366	184
133	369	182
134	373	179
135	376	177
136	379	174
137	382	171
138	385	169
139	388	166
140	391	163
141	394	161
142	397	158
143	400	155
144	403	153
145	406	150
146	409	147
147	413	145
148	416	142
149	419	139
150	422	137
151	425	134
152	428	131
153	432	129
154	435	126
155	438	123
156	441	120
157	444	118
158	447	115
159	450	112
160	453	109
161	457	107
162	460	104
163	463	101
164	466	98
165	469	96
166	472	93
167	475	90
168	478	87
169	481	84
170	484	82
171	487	79
172	490	76
173	494	73
174	496	70
175	500	68
176	502	65
177	505	62
178	507	59
179	509	56
180	511	53
181	515	50
182	518	48
183	521	45
184	525	42
185	528	39
186	532	36
187	535	34
188	539	31
189	542	28
190	545	25
191	548	22
192	551	20
193	554	17
194	557	14
195	560	11
196	563	8
197	566	5
198	569	2
199	572	0
